SECCION,CASILLA,LOCALIDAD,DOMICILIO
1288,B1,LEON,"ESCUELA SECUNDARIA TCNICA NÚMERO 45, CALLE URANIO, NÚMERO 201, COLONIA VALLE DE SEñORA, CóDIGO POSTAL 37205, LEóN, GUANAJUATO, ENTRE CALLE NITRóGENO Y CALLE OXóGENO"
1288,C1,LEON,"ESCUELA SECUNDARIA TCNICA NÚMERO 45, CALLE URANIO, NÚMERO 201, COLONIA VALLE DE SEñORA, CóDIGO POSTAL 37205, LEóN, GUANAJUATO, ENTRE CALLE NITRóGENO Y CALLE OXóGENO"
1289,B1,LEON,"ESCUELA PRIMARIA IGNACIO ALLENDE, CALLE NóQUEL, SIN NÚMERO, COLONIA SAN JOS DEL CONSUELO, CóDIGO POSTAL 37200, LEóN, GUANAJUATO, ENTRE CALLE PLATA DE SAN JOS Y CALLE COBALTO"
1289,C1,LEON,"ESCUELA PRIMARIA IGNACIO ALLENDE, CALLE NóQUEL, SIN NÚMERO, COLONIA SAN JOS DEL CONSUELO, CóDIGO POSTAL 37200, LEóN, GUANAJUATO, ENTRE CALLE PLATA DE SAN JOS Y CALLE COBALTO"
1289,C2,LEON,"ESCUELA PRIMARIA IGNACIO ALLENDE, CALLE NóQUEL, SIN NÚMERO, COLONIA SAN JOS DEL CONSUELO, CóDIGO POSTAL 37200, LEóN, GUANAJUATO, ENTRE CALLE PLATA DE SAN JOS Y CALLE COBALTO"
1290,B1,LEON,"CASA PARTICULAR, CALLE ESPUELA, NÚMERO 204, COLONIA LA HERRADURA, CóDIGO POSTAL 37170, LEóN, GUANAJUATO, ENTRE CALLEJóN GUIMAR Y CALLE FRENO"
1291,B1,LEON,"CASA PARTICULAR, CALLE EL ROSARIO, NÚMERO 217, COLONIA HACIENDAS EL ROSARIO, CóDIGO POSTAL 37125, LEóN, GUANAJUATO, ENTRE AVENIDA HACIENDA DEL ROSARIO Y CALLE SANTA VIRTUDES"
1292,B1,LEON,"PLAZA HIDALGO, BOULEVARD JUAN ALONSO DE TORRES, NÚMERO 101, COLONIA SAN JERóNIMO, CóDIGO POSTAL 37220, LEóN, GUANAJUATO, BOULEVARD MIGUEL HIDALGO ESQUINA BOULEVARD JUAN ALONSO DE TORRES"
1292,C1,LEON,"PLAZA HIDALGO, BOULEVARD JUAN ALONSO DE TORRES, NÚMERO 101, COLONIA SAN JERóNIMO, CóDIGO POSTAL 37220, LEóN, GUANAJUATO, BOULEVARD MIGUEL HIDALGO ESQUINA BOULEVARD JUAN ALONSO DE TORRES"
1292,C2,LEON,"PLAZA HIDALGO, BOULEVARD JUAN ALONSO DE TORRES, NÚMERO 101, COLONIA SAN JERóNIMO, CóDIGO POSTAL 37220, LEóN, GUANAJUATO, BOULEVARD MIGUEL HIDALGO ESQUINA BOULEVARD JUAN ALONSO DE TORRES"
1293,B1,LEON,"CASA PARTICULAR, CALLE OXóGENO, NÚMERO 809, COLONIA VALLE DE SEñORA, CóDIGO POSTAL 37205, LEóN, GUANAJUATO, ENTRE CALLE ARGóN Y CALLE SILICIO"
1293,C1,LEON,"CASA PARTICULAR , CALLE OXóGENO, NÚMERO 807, COLONIA VALLE DE SEñORA, CóDIGO POSTAL 37205, LEóN, GUANAJUATO, ENTRE CALLE SILICIO Y CALLE ARGóN"
1294,B1,LEON,"MINI DEPORTIVA VALLE DE SEñORA, ANDADOR MARIE CURIE, SIN NÚMERO , COLONIA VALLE DE SEñORA, CóDIGO POSTAL 37205, LEóN, GUANAJUATO, ENTRE CALLE NEóN Y CALLE SILICIO"
1294,C1,LEON,"MINI DEPORTIVA VALLE DE SEñORA, ANDADOR MARIE CURIE, SIN NÚMERO , COLONIA VALLE DE SEñORA, CóDIGO POSTAL 37205, LEóN, GUANAJUATO, ENTRE CALLE NEóN Y CALLE SILICIO"
1295,B1,LEON,"CASA PARTICULAR, CALLE SANTO TOMµS DE AQUINO, NÚMERO 1106, COLONIA SAN JOS DEL CONSUELO, CóDIGO POSTAL 37200, LEóN, GUANAJUATO, ENTRE CALLE SAN FRANCISCO DE ASóS Y CALLE SANTO TOMµS DE AQUINO"
1295,C1,LEON,"CASA PARTICULAR, CALLE SANTO TOMµS DE AQUINO, NÚMERO 1102, COLONIA SAN JOS DEL CONSUELO DOS, CóDIGO POSTAL 37200, LEóN, GUANAJUATO, ENTRE CALLE ANTONIO TORRES GóMEZ Y CALLE ENRIQUE MENDOZA ORTóZ"
1296,B1,LEON,"CASA PARTICULAR, CALLE PATRIOTAS DE NUEVA INGLATERRA, NÚMERO 403, COLONIA DEPORTIVA DOS, CóDIGO POSTAL 37239, LEóN, GUANAJUATO, ENTRE CALLE µGUILAS DE FILADELFIA Y CALLE PIRULES"
1296,C1,LEON,"CASA PARTICULAR, CALLE PATRIOTAS DE NUEVA INGLATERRA, NÚMERO 405, COLONIA DEPORTIVA DOS, CóDIGO POSTAL 37239, LEóN, GUANAJUATO, ENTRE CALLE µGUILAS DE FILADELFIA Y CALLE PIRULES"
1299,B1,LEON,"CASA PARTICULAR, CALLE BUCANEROS DE TAMPA, NÚMERO 132, COLONIA DEPORTIVA DOS, CóDIGO POSTAL 37239, LEóN, GUANAJUATO, ENTRE CALLE CARNEROS DE LOS µNGELES Y VAQUEROS DE DALLAS"
1299,C1,LEON,"CASA PARTICULAR, CALLE BUCANEROS DE TAMPA NÚMERO 101, COLONIA DEPORTIVA DOS, CóDIGO POSTAL 37239, LEóN, GUANAJUATO, ENTRE CALLE CARNEROS Y CALLE PIELES ROJAS"
1300,B1,LEON,"CASA PARTICULAR, CALLE PEñAROL, NÚMERO 101, COLONIA DEPORTIVA DOS, CóDIGO POSTAL 37239, LEóN, GUANAJUATO, ENTRE CALLE FLUMINENSE Y CALLE BOTAFOGO"
1300,C1,LEON,"CASA PARTICULAR, CALLE PEñAROL, NÚMERO 103, COLONIA DEPORTIVA DOS, CóDIGO POSTAL 37239, LEóN, GUANAJUATO, ENTRE CALLE FLUMINENSES Y CALLE BOTAFOGO"
1300,C2,LEON,"CASA PARTICULAR, CALLE FLUMINENSES, NÚMERO 304, COLONIA DEPORTIVA DOS, CóDIGO POSTAL 37239, LEóN, GUANAJUATO, ENTRE CALLE BETIS Y CALLE VERONA"
1301,B1,LEON,"JARDóN DE NIñOS ABRAHAM CASTELLANOS, CALLE SAN LµZARO, SIN NÚMERO, COLONIA SANTA ROSA DE LIMA, CóDIGO POSTAL 37210, LEóN, GUANUAJUATO, ENTRE CALLE RAFAEL CORRALES AYALA Y CALLE SANTO TOMµS DE AQUINO"
1301,C1,LEON,"JARDóN DE NIñOS ABRAHAM CASTELLANOS, CALLE SAN LµZARO, SIN NÚMERO, COLONIA SANTA ROSA DE LIMA, CóDIGO POSTAL 37210, LEóN, GUANUAJUATO, ENTRE CALLE RAFAEL CORRALES AYALA Y CALLE SANTO TOMµS DE AQUINO"
1302,B1,LEON,"CASA PARTICULAR, CALLE SAN RENATO, NÚMERO 225, COLONIA SANTA ROSA DE LIMA, CóDIGO POSTAL 37210, LEóN, GUANAJUATO, ENTRE CALLE SAN FRANCISCO DE ASóS Y CALLE SANTO TOMµS DE AQUINO"
1302,C1,LEON,"CASA PARTICULAR, CALLE SAN RENATO NÚMERO 209 B, COLONIA SANTA ROSA DE LIMA, CóDIGO POSTAL 37210, LEóN, GUANAJUATO, ENTRE CALLE SAN FRANCISCO DE ASóS Y CALLE SANTO TOMµS DE AQUINO"
1303,B1,LEON,"JARDóN DE NIñOS MARóA MONTESSORI, ANDADOR AVOGADRO, SIN NÚMERO, COLONIA VALLE DE SEñORA, CóDIGO POSTAL 37205, LEóN, GUANAJUATO, ENTRE CALLE YODO Y CALLE LITIO"
1303,C1,LEON,"JARDóN DE NIñOS MARóA MONTESSORI, ANDADOR AVOGADRO, SIN NÚMERO, COLONIA VALLE DE SEñORA, CóDIGO POSTAL 37205, LEóN, GUANAJUATO, ENTRE CALLE YODO Y CALLE LITIO"
1304,B1,LEON,"ASOCIACIóN DE PADRES E HIJOS AUTISTAS A C, CALLE FRANCISCO VERDóN DE MOLINA, SIN NÚMERO, COLONIA LA ALAMEDA, CóDIGO POSTAL 37207, LEóN, GUANAJUATO, ENTRE BOULEVARD FRANCISCO NAVARRETE Y GUERRERO Y CALLE ULISES MACóAS"
1304,C1,LEON,"ASOCIACIóN DE PADRES E HIJOS AUTISTAS A C, CALLE FRANCISCO VERDóN DE MOLINA, SIN NÚMERO, COLONIA LA ALAMEDA, CóDIGO POSTAL 37207, LEóN, GUANAJUATO, ENTRE BOULEVARD FRANCISCO NAVARRETE Y GUERRERO Y CALLE ULISES MACóAS"
1304,C2,LEON,"ASOCIACIóN DE PADRES E HIJOS AUTISTAS A C, CALLE FRANCISCO VERDóN DE MOLINA, SIN NÚMERO, COLONIA LA ALAMEDA, CóDIGO POSTAL 37207, LEóN, GUANAJUATO, ENTRE BOULEVARD FRANCISCO NAVARRETE Y GUERRERO Y CALLE ULISES MACóAS"
1304,C3,LEON,"ASOCIACIóN DE PADRES E HIJOS AUTISTAS A C, CALLE FRANCISCO VERDóN DE MOLINA, SIN NÚMERO, COLONIA LA ALAMEDA, CóDIGO POSTAL 37207, LEóN, GUANAJUATO, ENTRE BOULEVARD FRANCISCO NAVARRETE Y GUERRERO Y CALLE ULISES MACóAS"
1304,C4,LEON,"ASOCIACIóN DE PADRES E HIJOS AUTISTAS A C, CALLE FRANCISCO VERDóN DE MOLINA, SIN NÚMERO, COLONIA LA ALAMEDA, CóDIGO POSTAL 37207, LEóN, GUANAJUATO, ENTRE BOULEVARD FRANCISCO NAVARRETE Y GUERRERO Y CALLE ULISES MACóAS"
1304,C5,LEON,"ASOCIACIóN DE PADRES E HIJOS AUTISTAS A C, CALLE FRANCISCO VERDóN DE MOLINA, SIN NÚMERO, COLONIA LA ALAMEDA, CóDIGO POSTAL 37207, LEóN, GUANAJUATO, ENTRE BOULEVARD FRANCISCO NAVARRETE Y GUERRERO Y CALLE ULISES MACóAS"
1304,C6,LEON,"ASOCIACIóN DE PADRES E HIJOS AUTISTAS A C, CALLE FRANCISCO VERDóN DE MOLINA, SIN NÚMERO, COLONIA LA ALAMEDA, CóDIGO POSTAL 37207, LEóN, GUANAJUATO, ENTRE BOULEVARD FRANCISCO NAVARRETE Y GUERRERO Y CALLE ULISES MACóAS"
1304,C7,LEON,"ASOCIACIóN DE PADRES E HIJOS AUTISTAS A C, CALLE FRANCISCO VERDóN DE MOLINA, SIN NÚMERO, COLONIA LA ALAMEDA, CóDIGO POSTAL 37207, LEóN, GUANAJUATO, ENTRE BOULEVARD FRANCISCO NAVARRETE Y GUERRERO Y CALLE ULISES MACóAS"
1304,C8,LEON,"ASOCIACIóN DE PADRES E HIJOS AUTISTAS A C, CALLE FRANCISCO VERDóN DE MOLINA, SIN NÚMERO, COLONIA LA ALAMEDA, CóDIGO POSTAL 37207, LEóN, GUANAJUATO, ENTRE BOULEVARD FRANCISCO NAVARRETE Y GUERRERO Y CALLE ULISES MACóAS"
1304,C9,LEON,"ASOCIACIóN DE PADRES E HIJOS AUTISTAS A C, CALLE FRANCISCO VERDóN DE MOLINA, SIN NÚMERO, COLONIA LA ALAMEDA, CóDIGO POSTAL 37207, LEóN, GUANAJUATO, ENTRE BOULEVARD FRANCISCO NAVARRETE Y GUERRERO Y CALLE ULISES MACóAS"
1304,C10,LEON,"ASOCIACIóN DE PADRES E HIJOS AUTISTAS A C, CALLE FRANCISCO VERDóN DE MOLINA, SIN NÚMERO, COLONIA LA ALAMEDA, CóDIGO POSTAL 37207, LEóN, GUANAJUATO, ENTRE BOULEVARD FRANCISCO NAVARRETE Y GUERRERO Y CALLE ULISES MACóAS"
1305,B1,LEON,"CASA PARTICULAR, CALLE SAN JOS, NÚMERO 212, COLONIA SANTA ROSA DE LIMA, CóDIGO POSTAL 37210, LEóN, GUANAJUATO, ENTRE CALLE SAN FRANCISCO DE ASóS Y CALLE SANTO TOMµS DE AQUINO"
1305,C1,LEON,"CASA PARTICULAR, CALLE SAN JOS, NÚMERO 205, COLONIA SANTA ROSA DE LIMA, CóDIGO POSTAL 37210, LEóN, GUANAJUATO, ENTRE CALLE SAN FRANCISCO DE ASóS Y CALLE SANTO TOMµS DE AQUINO"
1306,B1,LEON,"ESCUELA PRIMARIA IGNACIO JOS DE ALLENDE , CALLE RIELEROS, SIN NÚMERO, COLONIA DEPORTIVA DOS, CóDIGO POSTAL 37239, LEóN, GUANAJUATO, ENTRE CALLE AZULEJOS DE TORONTO Y CALLE INTER DE MILµN"
1306,C1,LEON,"ESCUELA PRIMARIA IGNACIO JOS DE ALLENDE , CALLE RIELEROS, SIN NÚMERO, COLONIA DEPORTIVA DOS, CóDIGO POSTAL 37239, LEóN, GUANAJUATO, ENTRE CALLE AZULEJOS DE TORONTO Y CALLE INTER DE MILµN"
1307,B1,LEON,"CASA PARTICULAR, CALLE DODGERS DE LOS µNGELES, NÚMERO 118, COLONIA DEPORTIVA DOS, CóDIGO POSTAL 37239, LEóN, GUANAJUATO, ENTRE SERAFINES Y CALLE BRAVOS DE ATLANTA"
1307,C1,LEON,"CASA PARTICULAR, CALLE DODGERS DE LOS µNGELES, NÚMERO 101, COLONIA DEPORTIVA DOS, CóDIGO POSTAL 37239, LEóN, GUANAJUATO, ENTRE SERAFINES Y PILLHIES DE PHILADELPHIA"
1310,B1,LEON,"ESCUELA TELESECUNDARIA NÚMERO 20, CALLE NICOLµS CALVO, NÚMERO 3002, COLONIA DEPORTIVA DOS, CóDIGO POSTAL 37239, LEóN, GUANAJUATO, ENTRE CALLE BRAVOS DE ATLANTA Y CALLE CENTAURO DEL NORTE"
1310,C1,LEON,"ESCUELA TELESECUNDARIA NÚMERO 20, CALLE NICOLµS CALVO, NÚMERO 3002, COLONIA DEPORTIVA DOS, CóDIGO POSTAL 37239, LEóN, GUANAJUATO, ENTRE CALLE BRAVOS DE ATLANTA Y CALLE CENTAURO DEL NORTE"
1310,C2,LEON,"ESCUELA TELESECUNDARIA NÚMERO 20, CALLE NICOLµS CALVO, NÚMERO 3002, COLONIA DEPORTIVA DOS, CóDIGO POSTAL 37239, LEóN, GUANAJUATO, ENTRE CALLE BRAVOS DE ATLANTA Y CALLE CENTAURO DEL NORTE"
1310,C3,LEON,"ESCUELA TELESECUNDARIA NÚMERO 20, CALLE NICOLµS CALVO, NÚMERO 3002, COLONIA DEPORTIVA DOS, CóDIGO POSTAL 37239, LEóN, GUANAJUATO, ENTRE CALLE BRAVOS DE ATLANTA Y CALLE CENTAURO DEL NORTE"
1311,B1,LEON,"CASA PARTICULAR, CALLE SAN MARIANO, NÚMERO 412, COLONIA SANTA ROSA DE LIMA, CóDIGO POSTAL 37210, LEóN, GUANAJUATO, ENTRE CALLE RAFAEL CORRALES AYALA Y CALLE SAN SIXTO"
1312,B1,LEON,"CASA PARTICULAR, CALLE SAN GABRIEL, NÚMERO 215, COLONIA SANTA ROSA DE LIMA, CóDIGO POSTAL 37210, LEóN, GUANAJUATO, ENTRE CALLE SANTO TOMµS DE AQUINO Y CALLE SAN FRANCISCO DE ASóS"
1312,C1,LEON,"CASA PARTICULAR, CALLE SAN GABRIEL, NÚMERO 215, COLONIA SANTA ROSA DE LIMA, CóDIGO POSTAL 37210, LEóN, GUANAJUATO, ENTRE CALLE SANTO TOMµS DE AQUINO Y CALLE SAN FRANCISCO DE ASóS"
1312,C2,LEON,"CASA PARTICULAR, CALLE SAN GABRIEL, NÚMERO 204, COLONIA SANTA ROSA DE LIMA, CóDIGO POSTAL 37210, LEóN, GUANAJUATO, ENTRE CALLE SAN FRANCISCO DE ASóS Y CALLE SANTO TOMµS DE AQUINO"
1313,B1,LEON,"CASA PARTICULAR, BOULEVARD PROLONGACIóN ADOLFO LóPEZ MATEOS, NÚMERO 2110, COLONIA EL ROSARIO, CóDIGO POSTAL 37178, LEóN, GUANAJUATO, ENTRE AVENIDA HACIENDA DEL ROSARIO Y BOULEVARD JUAN ALONSO DE TORRES"
1313,C1,LEON,"CASA PARTICULAR, BOULEVARD PROLONGACIóN ADOLFO LóPEZ MATEOS, NÚMERO 2110, COLONIA EL ROSARIO, CóDIGO POSTAL 37178, LEóN, GUANAJUATO, ENTRE AVENIDA HACIENDA DEL ROSARIO Y BOULEVARD JUAN ALONSO DE TORRES"
1314,B1,LEON,"INSTITUTO ORTEGA Y GASSET, CALLE ANTONIO DE SILVA, NÚMERO 307, COLONIA VILLA INSURGENTES, CóDIGO POSTAL 37220, LEóN, GUANAJUATO, ENTRE CALLE JUAN VILLERóAS Y CALLE DOS ORIENTE"
1314,C1,LEON,"INSTITUTO ORTEGA Y GASSET, CALLE ANTONIO DE SILVA, NÚMERO 307, COLONIA VILLA INSURGENTES, CóDIGO POSTAL 37220, LEóN, GUANAJUATO, ENTRE CALLE JUAN VILLERóAS Y CALLE DOS ORIENTE"
1315,B1,LEON,"CASA PARTICULAR, CALLE FUERTE DE LOS REMEDIOS, NÚMERO 503, COLONIA VILLA INSURGENTES, CóDIGO POSTAL 37220, LEóN, GUANAJUATO, ENTRE CALLE FUERTE DE SAN DIEGO Y CALLE PABLO GALEANA"
1315,C1,LEON,"CASA PARTICULAR, CALLE FUERTE DE LOS REMEDIOS, NÚMERO 506, COLONIA VILLA INSURGENTES, CóDIGO POSTAL 37220, LEóN, GUANAJUATO, ENTRE CALLE FUERTE DE ALFARO Y CALLE JUAN VILLERIAS"
1316,B1,LEON,"CENTRO SOCIAL DEPORTIVA UNO, CALLE ALPINISMO, SIN NÚMERO, COLONIA DEPORTIVA UNO, CóDIGO POSTAL 37237, LEóN, GUANAJUATO, ENTRE CALLE TABLERO Y CALLE FLORETE"
1316,C1,LEON,"CENTRO SOCIAL DEPORTIVA UNO, CALLE ALPINISMO, SIN NÚMERO, COLONIA DEPORTIVA UNO, CóDIGO POSTAL 37237, LEóN, GUANAJUATO, ENTRE CALLE TABLERO Y CALLE FLORETE"
1317,B1,LEON,"ESCUELA PRIMARIA ITZCóATL, CALLE FéTBOL, NÚMERO 206, COLONIA DEPORTIVA UNO, CóDIGO POSTAL 37237, LEóN, GUANAJUATO, ENTRE CALLE RAQUETA Y CALLE PORTERóA"
1317,C1,LEON,"ESCUELA PRIMARIA ITZCóATL, CALLE FéTBOL, NÚMERO 206, COLONIA DEPORTIVA UNO, CóDIGO POSTAL 37237, LEóN, GUANAJUATO, ENTRE CALLE RAQUETA Y CALLE PORTERóA"
1318,B1,LEON,"CASA PARTICULAR, CALLE GIMNASIA, NÚMERO 220, COLONIA DEPORTIVA UNO, CóDIGO POSTAL 37237, LEóN, GUANAJUATO, ENTRE CALLE SQUASH Y CALLE NATACIóN"
1318,C1,LEON,"CASA PARTICULAR, CALLE GIMNASIA, NÚMERO 304, COLONIA DEPORTIVA UNO, CóDIGO POSTAL 37237, LEóN, GUANAJUATO, ENTRE BOULEVARD JUAN ALONSO DE TORRES Y CALLE SQUASH"
1319,B1,LEON,"ESCUELA SECUNDARIA TCNICA NÚMERO 43, BOULEVARD HILARIO MEDINA, SIN NÚMERO, COLONIA DEPORTIVA UNO, CóDIGO POSTAL 37237, LEóN, GUANAJUATO, ENTRE CALLE POLO Y CALLE RED"
1319,C1,LEON,"ESCUELA SECUNDARIA TCNICA NÚMERO 43, BOULEVARD HILARIO MEDINA, SIN NÚMERO, COLONIA DEPORTIVA UNO, CóDIGO POSTAL 37237, LEóN, GUANAJUATO, ENTRE CALLE POLO Y CALLE RED"
1320,B1,LEON,"ESCUELA PRIMARIA ADOLFO LóPEZ MATEOS, CALLE PRIMER MANDATARIO, NÚMERO 301, COLONIA PRESIDENTES DE MXICO, CóDIGO POSTAL 37236, LEóN, GUANAJUATO, ENTRE CALLE CONSTITUYENTES DE MXICO Y CALLE CONGRESO DE CHILPANCINGO"
1320,C1,LEON,"ESCUELA PRIMARIA ADOLFO LóPEZ MATEOS, CALLE PRIMER MANDATARIO, NÚMERO 301, COLONIA PRESIDENTES DE MXICO, CóDIGO POSTAL 37236, LEóN, GUANAJUATO, ENTRE CALLE CONSTITUYENTES DE MXICO Y CALLE CONGRESO DE CHILPANCINGO"
1320,C2,LEON,"ESCUELA PRIMARIA ADOLFO LóPEZ MATEOS, CALLE PRIMER MANDATARIO, NÚMERO 301, COLONIA PRESIDENTES DE MXICO, CóDIGO POSTAL 37236, LEóN, GUANAJUATO, ENTRE CALLE CONSTITUYENTES DE MXICO Y CALLE CONGRESO DE CHILPANCINGO"
1321,B1,LEON,"CASA PARTICULAR, CALLE LµZARO CµRDENAS, NÚMERO 602, COLONIA PRESIDENTES DE MXICO, CóDIGO POSTAL 37236, LEóN, GUANAJUATO, ENTRE CALLE EMILIO PORTES GIL Y CALLE FRANCISCO LEóN DE LA BARRA"
1321,C1,LEON,"CASA PARTICULAR, CALLE LµZARO CµRDENAS, NÚMERO 602, COLONIA PRESIDENTES DE MXICO, CóDIGO POSTAL 37236, LEóN, GUANAJUATO, ENTRE CALLE EMILIO PORTES GIL Y CALLE FRANCISCO LEóN DE LA BARRA"
1325,B1,LEON,"CASA PARTICULAR, CALLE PASCUAL ORTóZ RUBIO, NÚMERO 509, COLONIA PRESIDENTES DE MXICO, CóDIGO POSTAL 37236, LEóN, GUANAJUATO, ENTRE CALLE ANDRS QUINTANA ROO Y CALLE MANUEL GONZµLEZ"
1325,C1,LEON,"CASA PARTICULAR, CALLE PASCUAL ORTóZ RUBIO, NÚMERO 509, COLONIA PRESIDENTES DE MXICO, CóDIGO POSTAL 37236, LEóN, GUANAJUATO, ENTRE CALLE ANDRS QUINTANA ROO Y CALLE MANUEL GONZµLEZ"
1326,B1,LEON,"CASA PARTICULAR, CALLE FERNANDO DE MAGALLANES , NÚMERO 134, COLONIA LINARES, CóDIGO POSTAL 37230, LEóN, GUANAJUATO, ENTRE BOULEVARD ANTONIO MADRAZO Y CALLE CHICHONAL"
1326,C1,LEON,"CASA PARTICULAR, CALLE FERNANDO DE MAGALLANES, NÚMERO 154, COLONIA LINARES, CóDIGO POSTAL 37230, LEóN, GUANAJUATO , ENTRE BOULEVARD ANTONIO MADRAZO Y CALLE CHICHONAL"
1327,B1,LEON,"CASA PARTICULAR, CALLE RAFAEL IRIARTE, NÚMERO 715A, COLONIA VILLA INSURGENTES, CóDIGO POSTAL 37220, LEóN, GUANAJUATO, ENTRE FUERTE DE SAN DIEGO Y PABLO GALEANA"
1328,B1,LEON,"ESCUELA NORMAL OFICIAL DE LEóN, CALLE FRAY LUIS DE HERRERA, SIN NÚMERO, COLONIA VILLA INSURGENTES, CóDIGO POSTAL 37220, LEóN, GUANAJUATO, ENTRE CALLE LUNA Y CALLE JéPITER"
1328,C1,LEON,"ESCUELA NORMAL OFICIAL DE LEóN, CALLE FRAY LUIS DE HERRERA, SIN NÚMERO, COLONIA VILLA INSURGENTES, CóDIGO POSTAL 37220, LEóN, GUANAJUATO, ENTRE CALLE LUNA Y CALLE JéPITER"
1329,B1,LEON,"CASA PARTICULAR, CALLE RAFAEL IRIARTE, NÚMERO 203, FRACCIONAMIENTO VILLA INSURGENTES, CóDIGO POSTAL 37220, LEóN, GUANAJUATO, ENTRE CALLE TANCóTARO Y CALLE ZINAPCUARO"
1329,C1,LEON,"CASA PARTICULAR, CALLE RAFAEL IRIARTE, NÚMERO 203, FRACCIONAMIENTO VILLA INSURGENTES, CóDIGO POSTAL 37220, LEóN, GUANAJUATO, ENTRE CALLE TANCóTARO Y CALLE ZINAPCUARO"
1330,B1,LEON,"ESCUELA PRIMARIA URBANA NÚMERO 16 JUAN B DIOSDADO, CALLE SITIO DE CUAUTLA, NÚMERO 537, FRACCIONAMIENTO HIDALGO, CóDIGO POSTAL 37220, LEóN, GUANAJUATO, ENTRE CALLE JéPITER Y CALLE LUNA"
1330,C1,LEON,"ESCUELA PRIMARIA URBANA NÚMERO 16 JUAN B DIOSDADO, CALLE SITIO DE CUAUTLA, NÚMERO 537, FRACCIONAMIENTO HIDALGO, CóDIGO POSTAL 37220, LEóN, GUANAJUATO, ENTRE CALLE JéPITER Y CALLE LUNA"
1331,B1,LEON,"ESCUELA SECUNDARIA GENERAL NÚMERO 8, CALLE JOS HERNµNDEZ DELGADO, NÚMERO 401, COLONIA LAS TROJES, CóDIGO POSTAL 37227, LEóN, GUANAJUATO, ENTRE BOULEVARD GUANAJUATO Y CALLE NICOLµS DE MEDINA"
1331,C1,LEON,"ESCUELA SECUNDARIA GENERAL NÚMERO 8, CALLE JOS HERNµNDEZ DELGADO, NÚMERO 401, COLONIA LAS TROJES, CóDIGO POSTAL 37227, LEóN, GUANAJUATO, ENTRE BOULEVARD GUANAJUATO Y CALLE NICOLµS DE MEDINA"
1332,B1,LEON,"CASA PARTICULAR, CALLE EULALIO GUTIERREZ, NÚMERO 120, COLONIA PRESIDENTES DE MXICO, CóDIGO POSTAL 37236, LEóN, GUANAJUATO, ENTRE BOULEVARD HILARIO MEDINA Y CALLE MANUEL µVILA CAMACHO"
1332,C1,LEON,"CASA PARTICULAR, CALLE EULALIO GUTIERREZ, NÚMERO 120, COLONIA PRESIDENTES DE MXICO, CóDIGO POSTAL 37236, LEóN, GUANAJUATO, ENTRE BOULEVARD HILARIO MEDINA Y CALLE MANUEL µVILA CAMACHO"
1337,B1,LEON,"JARDóN DE NIñOS JOSEFA ORTóZ DE DOMóNGUEZ, CALLE MONARCA, NÚMERO 405, COLONIA REAL PROVIDENCIA, CóDIGO POSTAL 37234, LEóN, GUANAJUATO, ENTRE CALLE MµRQUEZ Y CALLE PEDRO MARóA ANAYA"
1337,C1,LEON,"JARDóN DE NIñOS JOSEFA ORTóZ DE DOMóNGUEZ, CALLE MONARCA, NÚMERO 405, COLONIA REAL PROVIDENCIA, CóDIGO POSTAL 37234, LEóN, GUANAJUATO, ENTRE CALLE MµRQUEZ Y CALLE PEDRO MARóA ANAYA"
1337,C2,LEON,"JARDóN DE NIñOS JOSEFA ORTóZ DE DOMóNGUEZ, CALLE MONARCA, NÚMERO 405, COLONIA REAL PROVIDENCIA, CóDIGO POSTAL 37234, LEóN, GUANAJUATO, ENTRE CALLE MµRQUEZ Y CALLE PEDRO MARóA ANAYA"
1337,C3,LEON,"JARDóN DE NIñOS JOSEFA ORTóZ DE DOMóNGUEZ, CALLE MONARCA, NÚMERO 405, COLONIA REAL PROVIDENCIA, CóDIGO POSTAL 37234, LEóN, GUANAJUATO, ENTRE CALLE MµRQUEZ Y CALLE PEDRO MARóA ANAYA"
1337,C4,LEON,"JARDóN DE NIñOS JOSEFA ORTóZ DE DOMóNGUEZ, CALLE MONARCA, NÚMERO 405, COLONIA REAL PROVIDENCIA, CóDIGO POSTAL 37234, LEóN, GUANAJUATO, ENTRE CALLE MµRQUEZ Y CALLE PEDRO MARóA ANAYA"
1338,B1,LEON,"ESCUELA PRIMARIA OCTAVIO PAZ, CALLE FRANCISCO DE FALLA, NÚMERO 229, COLONIA LAS TROJES, CóDIGO POSTAL 37227, LEóN, GUANAJUATO, ENTRE BOULEVARD GUANAJUATO Y CALLE ALHóNDIGA"
1338,C1,LEON,"ESCUELA PRIMARIA OCTAVIO PAZ, CALLE FRANCISCO DE FALLA, NÚMERO 229, COLONIA LAS TROJES, CóDIGO POSTAL 37227, LEóN, GUANAJUATO, ENTRE BOULEVARD GUANAJUATO Y CALLE ALHóNDIGA"
1339,B1,LEON,"CASA PARTICULAR, CALLE FRANCISCO ZUñIGA, NÚMERO 401, FRACCIONAMIENTO HIDALGO, CóDIGO POSTAL 37220, LEóN, GUANAJUATO, ENTRE CALLE JéPITER Y CALLE LUNA"
1339,C1,LEON,"CASA PARTICULAR, CALLE FRANCISCO ZUñIGA, NÚMERO 401, FRACCIONAMIENTO HIDALGO, CóDIGO POSTAL 37220, LEóN, GUANAJUATO, ENTRE CALLE JéPITER Y CALLE LUNA"
